Zipcode,City,State,Available,ZipType
90671,SANTA FE SPRINGS,CA,Available,STANDARD
90680,STANTON,CA,Available,STANDARD
90701,ARTESIA,CA,Available,STANDARD
90702,ARTESIA,CA,Available,STANDARD
90703,CERRITOS,CA,Available,STANDARD
90706,BELLFLOWER,CA,Available,STANDARD
90707,BELLFLOWER,CA,Available,STANDARD
90710,HARBOR CITY,CA,Available,STANDARD
90711,LAKEWOOD,CA,Available,STANDARD
90712,LAKEWOOD,CA,Available,STANDARD
90713,LAKEWOOD,CA,Available,STANDARD
90714,LAKEWOOD,CA,Available,STANDARD
90715,LAKEWOOD,CA,Available,STANDARD
90716,HAWAIIAN GARDENS,CA,Available,STANDARD
90717,LOMITA,CA,Available,STANDARD
90720,LOS ALAMITOS,CA,Available,STANDARD
90721,LOS ALAMITOS,CA,Available,STANDARD
90723,PARAMOUNT,CA,Available,STANDARD
90731,SAN PEDRO,CA,Available,STANDARD
90732,SAN PEDRO,CA,Available,STANDARD
90733,SAN PEDRO,CA,Available,STANDARD
90734,SAN PEDRO,CA,Available,STANDARD
90740,SEAL BEACH,CA,Available,STANDARD
90742,SUNSET BEACH,CA,Available,PO BOX ONLY
90743,SURFSIDE,CA,Available,PO BOX ONLY
90744,WILMINGTON,CA,Available,STANDARD
90745,CARSON,CA,Available,STANDARD
90746,CARSON,CA,Available,STANDARD
90747,CARSON,CA,Available,UNIQUE
90748,WILMINGTON,CA,Available,STANDARD
90749,CARSON,CA,Available,STANDARD
90801,LONG BEACH,CA,Available,STANDARD
90802,LONG BEACH,CA,Available,STANDARD
90803,LONG BEACH,CA,Available,STANDARD
90804,LONG BEACH,CA,Available,STANDARD
90805,LONG BEACH,CA,Available,STANDARD
90806,LONG BEACH,CA,Available,STANDARD
90807,LONG BEACH,CA,Available,STANDARD
90808,LONG BEACH,CA,Available,STANDARD
90809,LONG BEACH,CA,Available,STANDARD
90810,LONG BEACH,CA,Available,STANDARD
90813,LONG BEACH,CA,Available,STANDARD
90814,LONG BEACH,CA,Available,STANDARD
90815,LONG BEACH,CA,Available,STANDARD
90822,LONG BEACH,CA,Available,STANDARD
90831,LONG BEACH,CA,Available,STANDARD
90832,LONG BEACH,CA,Available,STANDARD
90833,LONG BEACH,CA,Available,STANDARD
90834,LONG BEACH,CA,Available,STANDARD
90835,LONG BEACH,CA,Available,STANDARD
90840,LONG BEACH,CA,Available,UNIQUE
90842,LONG BEACH,CA,Available,UNIQUE
90844,LONG BEACH,CA,Available,UNIQUE
90845,LONG BEACH,CA,Available,UNIQUE
90846,LONG BEACH,CA,Available,UNIQUE
90847,LONG BEACH,CA,Available,UNIQUE
90848,LONG BEACH,CA,Available,UNIQUE
90853,LONG BEACH,CA,Available,STANDARD
90888,LONG BEACH,CA,Available,UNIQUE
90899,LONG BEACH,CA,Available,UNIQUE
91001,ALTADENA,CA,Available,STANDARD
91003,ALTADENA,CA,Available,STANDARD
91006,ARCADIA,CA,Available,STANDARD
91007,ARCADIA,CA,Available,STANDARD
91009,DUARTE,CA,Available,STANDARD
91010,DUARTE,CA,Available,STANDARD
91011,LA CANADA FLINTRIDGE,CA,Available,STANDARD
91012,LA CANADA FLINTRIDGE,CA,Available,STANDARD
91016,MONROVIA,CA,Available,STANDARD
91017,MONROVIA,CA,Available,STANDARD
91020,MONTROSE,CA,Available,STANDARD
91021,MONTROSE,CA,Available,STANDARD
91023,MOUNT WILSON,CA,Available,STANDARD
91024,SIERRA MADRE,CA,Available,STANDARD
91025,SIERRA MADRE,CA,Available,STANDARD
91030,SOUTH PASADENA,CA,Available,STANDARD
91031,SOUTH PASADENA,CA,Available,STANDARD
91040,SUNLAND,CA,Available,STANDARD
91041,SUNLAND,CA,Available,STANDARD
91042,TUJUNGA,CA,Available,STANDARD
91043,TUJUNGA,CA,Available,STANDARD
91046,VERDUGO CITY,CA,Available,PO BOX ONLY
91050,PASADENA,CA,Available,UNIQUE
91051,PASADENA,CA,Available,UNIQUE
91066,ARCADIA,CA,Available,STANDARD
91077,ARCADIA,CA,Available,STANDARD
